序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
171,8986,22.26,113.738028,186.5,30.0,3.0,0.405
172,10329,22.258425,113.73865,118.1,21.0,2.0,0.376
173,11711,22.257506,113.739225,200.1,13.0,2.0,0.405
174,8321,22.255857,113.740005,286.1,13.0,3.0,0.405
175,10209,22.253607,113.741352,189.4,21.0,3.0,0.386
176,9096,22.252089,113.742187,303.6,23.0,3.0,0.374
177,9926,22.249623,113.743453,210.5,21.5,3.0,0.383
178,8442,22.247994,113.744496,264.5,21.5,3.0,0.383
179,8473,22.245898,113.745711,209.1,20.5,3.0,0.368
180,11694,22.244173,113.746519,260.3,20.5,3.0,0.368
181,9108,22.242139,113.747772,250.9,21.5,3.0,0.383
182,11218,22.240026,113.748628,250.4,35.0,3.0,0.436
183,9786,22.238074,113.749839,219.4,21.0,3.0,0.376
184,11670,22.236256,113.750669,285.4,24.0,3.0,0.414
185,11002,22.233869,113.75169,490.6,21.5,3.0,0.383
186,11678,22.229814,113.753567,1703.3,24.5,3.0,0.419
187,11654,22.215725,113.760064,267.8,20.5,3.0,0.379
188,11653,22.213889,113.761747,333.5,30.0,1.0,0.405
189,10423,22.212047,113.764303,225.2,29.0,1.0,0.405
190,11633,22.210227,113.763344,254.8,19.0,1.0,0.405
191,11254,22.208104,113.764278,305.8,11.0,1.0,0.405
192,8816,22.206137,113.766355,200.1,25.5,2.0,0.429
193,11640,22.204344,113.766511,120.1,21.0,1.0,0.376
194,10267,22.203819,113.767531,203.0,20.5,2.0,0.368
195,8817,22.202053,113.768031,180.2,24.0,2.0,0.414
196,11643,22.200511,113.76857,129.6,22.0,2.0,0.389
197,9510,22.199659,113.769428,204.4,21.0,3.0,0.376
198,7976,22.197921,113.770074,293.4,36.0,3.0,0.325
199,10761,22.195582,113.771392,159.2,21.0,3.0,0.366
200,8707,22.194314,113.772111,326.2,39.0,3.0,0.363
201,9821,22.191661,113.773462,206.7,38.5,3.0,0.359
202,8864,22.189942,113.774226,278.3,20.0,3.0,0.405
203,8844,22.187777,113.775583,223.5,11.0,3.0,0.405
204,8928,22.185939,113.776461,241.9,30.0,3.0,0.452
205,8669,22.18403,113.777587,219.6,29.0,3.0,0.459
206,9463,22.182213,113.778421,272.2,30.0,3.0,0.405
207,8944,22.180071,113.779702,204.9,17.5,2.0,0.339
208,10238,22.178439,113.780626,110.1,19.5,2.0,0.374
209,11628,22.177833,113.781472,236.7,17.5,2.0,0.376
210,8034,22.175791,113.782117,251.2,29.0,2.0,0.459
211,8681,22.174033,113.78365,229.6,63.8,1.0,0.0
212,7212,22.175895,113.784612,241.8,32.0,1.0,0.274
213,8945,22.178044,113.78425,222.4,2.0,1.0,0.405
214,8029,22.180029,113.783983,229.6,4.0,1.0,0.405
215,7763,22.182089,113.783829,208.7,4.0,1.0,0.405
216,7764,22.183964,113.783729,221.2,12.0,1.0,0.405
217,9698,22.185953,113.783727,245.3,68.1,1.0,0.0
218,8865,22.188159,113.783778,202.4,10.0,1.0,0.405
219,9790,22.189977,113.78387,227.4,10.0,1.0,0.405
220,10815,22.192014,113.784065,220.4,10.0,1.0,0.405
221,11646,22.193979,113.784342,213.9,10.0,1.0,0.405
222,11617,22.195881,113.784648,679.8,10.0,1.0,0.405
223,11015,22.201913,113.785727,237.3,11.0,1.0,0.405
224,11641,22.204004,113.786187,221.2,4.0,1.0,0.405
225,11662,22.205939,113.786684,226.1,11.0,1.0,0.405
226,11664,22.207901,113.787261,228.6,63.5,1.0,0.0
227,11634,22.209871,113.787898,243.8,8.0,1.0,0.405
228,11166,22.21196,113.788614,243.7,10.0,1.0,0.405
229,10895,22.214052,113.789322,226.1,9.0,1.0,0.405
230,11655,22.216001,113.789948,219.6,12.0,1.0,0.405
231,11656,22.217903,113.790522,469.8,10.0,1.0,0.405
232,11037,22.22201,113.791592,214.9,9.0,1.0,0.405
233,11680,22.223898,113.792036,234.4,9.0,1.0,0.405
234,10459,22.225963,113.792498,468.9,10.0,1.0,0.405
235,11652,22.230095,113.793404,221.9,10.0,1.0,0.405
236,11673,22.23205,113.793838,209.5,4.0,1.0,0.405
237,10278,22.233894,113.794258,242.7,10.0,1.0,0.405
238,11220,22.236027,113.794756,217.3,9.0,1.0,0.405
239,11671,22.237936,113.795207,227.6,21.0,1.0,0.325
240,11217,22.239939,113.795662,248.7,47.0,1.0,0.405
241,9802,22.242135,113.796118,216.4,10.5,1.0,0.396
242,9801,22.244053,113.796479,226.8,7.5,1.0,0.396
243,9897,22.246069,113.796812,240.1,6.0,1.0,0.431
244,10757,22.248207,113.797141,210.7,23.0,1.0,0.347
245,9727,22.250084,113.797428,218.9,15.0,1.0,0.382
246,9828,22.252031,113.79774,210.8,14.0,2.0,0.376
247,10208,22.253896,113.798109,247.1,68.6,2.0,0.0
248,8989,22.256068,113.798614,244.2,4.5,2.0,0.396
249,7478,22.25813,113.799433,229.4,7.0,2.0,0.406
250,6867,22.259996,113.800385,3882.1,1078.4,1.0,0.0
251,9054,22.225822,113.808105,269.6,7.0,0.0,0.405
252,2281,22.223661,113.806914,64.8,360.0,2.0,0.405
253,672,22.223153,113.807223,,,,
