序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
249,4049,23.130661,111.890271,190.8,28.3,19.0,0.72
250,2673,23.130433,111.89212,196.8,28.6,29.0,0.745
251,2372,23.130081,111.894007,273.2,22.2,2.0,0.504
252,6561,23.128861,111.896325,174.1,27.2,5.0,0.545
253,5589,23.128619,111.898007,210.1,24.9,6.0,0.608
254,4452,23.128557,111.900061,212.8,33.0,13.0,0.716
255,3219,23.12862,111.902141,191.2,31.7,22.0,0.697
256,3176,23.128444,111.904001,206.5,29.3,24.0,0.735
257,2760,23.128382,111.906019,190.8,10.0,0.0,0.405
258,2452,23.130096,111.905949,214.1,51.7,18.0,0.455
259,2570,23.129948,111.908036,616.0,72.0,1.0,0.405
260,2739,23.129955,111.91406,201.0,90.0,18.0,0.422
261,2476,23.129909,111.916025,202.7,30.0,18.0,0.405
262,2453,23.12997,111.918006,406.4,90.0,1.0,0.405
263,2276,23.129782,111.921975,115.6,32.1,2.0,0.0
264,3904,23.128743,111.922012,177.2,29.4,9.0,0.705
265,5463,23.128736,111.923745,207.8,30.3,4.0,0.498
266,7639,23.128736,111.925777,214.2,42.0,3.0,0.406
267,11235,23.128678,111.927872,267.4,28.0,1.0,0.451
268,2514,23.130163,111.929929,274.9,34.5,1.0,0.445
269,2653,23.131771,111.931971,216.0,38.3,15.0,0.414
270,2162,23.131874,111.93408,197.8,32.7,29.0,0.562
271,1622,23.131732,111.936008,208.5,26.8,37.0,0.745
272,1470,23.131767,111.938046,176.5,30.7,40.0,0.727
273,252,23.131079,111.939602,251.9,39.7,0.0,0.444
274,6724,23.133307,111.940049,205.6,30.0,2.0,0.405
275,6015,23.133366,111.942059,192.6,40.3,3.0,0.447
276,4933,23.133352,111.943943,210.8,31.7,6.0,0.492
277,4769,23.1333,111.946003,86.4,19.0,0.0,0.355
278,1880,23.132529,111.94611,329.7,61.0,1.0,0.405
279,10196,23.130191,111.948093,434.6,45.0,0.0,0.396
280,9290,23.129545,111.952284,403.0,53.2,3.0,0.461
281,11234,23.128433,111.956035,473.8,30.0,0.0,0.405
282,11734,23.126267,111.960025,784.4,50.0,2.0,0.404
283,11760,23.122054,111.966178,304.1,50.0,5.0,0.547
284,11755,23.119712,111.967713,776.7,59.0,1.0,0.405
285,5026,23.114378,111.972616,213.7,44.4,5.0,0.426
286,8939,23.112464,111.972812,509.7,30.0,1.0,0.467
287,1796,23.108212,111.974674,232.2,45.2,13.0,0.512
288,3832,23.106125,111.974634,196.2,43.0,5.0,0.478
289,5941,23.104367,111.974798,298.2,27.8,4.0,0.52
290,1321,23.102092,111.976343,182.2,30.5,12.0,0.463
291,403,23.102392,111.978093,281.1,40.0,19.0,0.445
292,1457,23.099895,111.977667,201.4,28.0,33.0,0.76
293,1459,23.098146,111.978178,175.3,28.0,18.0,0.707
294,4650,23.096649,111.978715,140.8,26.6,18.0,0.737
295,1474,23.095983,111.979887,179.6,26.5,20.0,0.709
296,3448,23.094461,111.980473,289.8,5.0,1.0,0.405
297,3942,23.092597,111.982454,179.6,26.0,18.0,0.739
298,1499,23.092029,111.984099,145.2,22.2,9.0,0.683
299,6264,23.090854,111.984718,153.8,24.1,11.0,0.689
300,2326,23.09042,111.986145,302.5,10.0,1.0,0.405
301,6809,23.088791,111.988514,167.8,23.0,8.0,0.672
302,2615,23.088557,111.990134,214.7,21.6,27.0,0.741
303,1543,23.088085,111.992169,193.6,29.0,42.0,0.753
304,912,23.088102,111.994062,146.8,25.6,8.0,0.756
305,6678,23.086847,111.994508,173.2,26.0,8.0,0.748
306,2786,23.086677,111.996192,200.9,23.5,29.0,0.771
307,1951,23.086327,111.998119,205.0,26.4,37.0,0.783
308,1580,23.086002,112.000091,263.0,15.0,1.0,0.438
309,11876,23.084881,112.002355,196.4,24.2,2.0,0.69
310,5769,23.084851,112.004275,185.5,23.4,9.0,0.743
311,3407,23.084783,112.006087,209.5,29.4,21.0,0.732
312,2898,23.084611,112.008127,196.6,27.1,29.0,0.771
