序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
193,3083,23.041815,113.516111,166.1,26.3,10.0,0.631
194,4211,23.042444,113.517583,180.1,26.6,11.0,0.664
195,2110,23.043998,113.518079,147.1,26.9,10.0,0.625
196,4741,23.044482,113.519417,191.0,26.5,13.0,0.637
197,1724,23.046126,113.519956,155.6,28.6,5.0,0.553
198,6292,23.046513,113.521418,202.5,30.5,6.0,0.463
199,1683,23.048323,113.521637,180.6,51.4,25.0,0.589
200,773,23.049944,113.521748,331.5,31.0,1.0,0.405
201,2891,23.051447,113.524547,147.2,37.9,30.0,0.685
202,2324,23.052366,113.525582,157.5,46.2,30.0,0.68
203,2724,23.053521,113.526475,158.2,38.6,27.0,0.661
204,2504,23.054358,113.527725,156.1,43.7,26.0,0.592
205,2788,23.055572,113.528491,155.2,31.9,24.0,0.717
206,2505,23.056325,113.529769,159.3,59.6,23.0,0.557
207,2971,23.057661,113.53033,299.9,25.5,10.0,0.429
208,2871,23.059679,113.532276,155.9,39.6,19.0,0.649
209,2542,23.060069,113.53374,192.3,40.3,21.0,0.647
210,2478,23.061716,113.534312,139.4,29.8,17.0,0.671
211,3725,23.0624,113.535453,199.9,32.2,17.0,0.643
212,1982,23.064076,113.536159,276.2,90.0,11.0,0.405
213,2212,23.066139,113.537664,303.0,84.2,4.0,0.0
214,5218,23.068463,113.539211,192.8,28.2,13.0,0.609
215,1764,23.070155,113.53962,189.2,18.0,3.0,0.405
216,9267,23.070151,113.54147,246.6,22.0,2.0,0.37
217,4590,23.072369,113.541416,193.7,33.4,9.0,0.545
218,2209,23.074101,113.541616,206.2,37.2,21.0,0.674
219,2811,23.075792,113.542443,204.6,30.0,2.0,0.405
220,8636,23.077622,113.542649,150.3,29.9,2.0,0.605
221,2241,23.077947,113.544075,183.7,25.6,9.0,0.63
222,5376,23.079547,113.544521,162.8,28.4,10.0,0.606
223,2144,23.079996,113.546036,183.8,38.8,18.0,0.583
224,4038,23.080417,113.547773,135.5,29.9,12.0,0.649
225,2933,23.081596,113.548108,193.3,26.7,17.0,0.63
226,2186,23.082289,113.549841,187.3,26.0,18.0,0.541
227,4011,23.082631,113.551633,105.0,30.0,11.0,0.661
228,2922,23.083425,113.552189,197.0,28.3,19.0,0.679
229,2052,23.083917,113.554039,202.4,43.4,24.0,0.563
230,2007,23.084417,113.555941,124.9,34.7,2.0,0.0
231,2516,23.085478,113.55554,271.5,27.5,6.0,0.401
232,1787,23.085617,113.55819,234.8,97.2,18.0,0.448
233,686,23.086032,113.56044,113.6,58.0,26.0,0.566
234,157,23.086686,113.561294,281.7,167.2,26.0,0.332
235,2117,23.086283,113.564012,129.9,41.0,26.0,0.62
236,936,23.085986,113.565241,175.0,39.4,7.0,0.581
237,5558,23.087175,113.566362,175.8,77.0,11.0,0.469
238,2419,23.087384,113.568065,208.1,35.1,24.0,0.56
239,1863,23.087732,113.570064,143.9,40.0,2.0,0.0
240,6479,23.086445,113.569919,299.3,60.0,1.0,0.405
241,141,23.088512,113.571794,155.0,53.1,26.0,0.551
242,828,23.088827,113.57327,260.7,42.3,9.0,0.604
243,5122,23.088763,113.575817,298.9,34.4,1.0,0.596
244,850,23.090682,113.577863,184.6,29.6,27.0,0.715
245,2051,23.090717,113.579668,104.5,42.6,12.0,0.579
246,1236,23.091524,113.580193,184.3,39.8,17.0,0.413
247,1620,23.091686,113.581986,205.8,49.8,29.0,0.619
248,2032,23.09239,113.583848,161.1,27.8,12.0,0.655
249,5665,23.092887,113.585327,113.5,29.5,12.0,0.671
250,1937,23.09361,113.586111,304.6,104.5,10.0,0.431
251,4364,23.09529,113.588463,312.3,36.5,4.0,0.451
252,7204,23.097385,113.590498,191.9,29.6,9.0,0.626
253,2389,23.097522,113.592368,171.5,33.1,32.0,0.668
254,2075,23.098394,113.593751,140.6,43.0,25.0,0.592
255,3585,23.099447,113.594513,350.8,97.4,2.0,0.0
256,55,23.102226,113.596137,96.1,26.7,3.0,0.0
257,2945,23.103019,113.596509,161.4,15.0,1.0,0.405
258,4919,23.103259,113.598065,229.4,30.0,3.0,0.405
