序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
151,11929,22.389807,113.761232,209.0,10.0,1.0,0.405
152,10124,22.388021,113.761868,202.7,11.0,1.0,0.405
153,11912,22.386352,113.76266,293.4,10.0,1.0,0.405
154,9982,22.383913,113.763748,226.9,10.0,1.0,0.405
155,8988,22.381994,113.764498,238.7,29.0,1.0,0.405
156,10324,22.37997,113.76527,226.1,30.0,1.0,0.405
157,9314,22.378049,113.765992,193.1,19.5,1.0,0.363
158,11903,22.376422,113.766647,286.6,25.0,1.0,0.424
159,10554,22.373982,113.767546,214.9,20.0,1.0,0.361
160,9355,22.372145,113.768196,472.9,37.5,1.0,0.311
161,10759,22.368101,113.769618,198.0,30.0,1.0,0.405
162,9810,22.366371,113.770073,299.8,10.0,1.0,0.405
163,11883,22.364088,113.771624,254.3,20.0,1.0,0.361
164,10903,22.361861,113.772186,162.1,45.0,1.0,0.0
165,10025,22.360432,113.77188,553.8,21.0,1.0,0.405
166,10261,22.356008,113.774355,667.6,23.0,1.0,0.439
167,11061,22.350123,113.77564,558.1,19.5,1.0,0.363
168,11850,22.345661,113.778124,159.3,8.0,1.0,0.405
169,10617,22.344254,113.777835,557.2,10.0,1.0,0.405
170,9648,22.339786,113.780288,179.9,10.0,1.0,0.405
171,11838,22.338239,113.779773,252.9,10.0,1.0,0.405
172,11840,22.336039,113.780392,303.4,9.0,1.0,0.405
173,10198,22.334045,113.782407,198.0,21.0,1.0,0.405
174,11823,22.332292,113.782068,323.7,19.0,1.0,0.405
175,11819,22.330019,113.784033,467.6,30.0,1.0,0.405
176,11801,22.326067,113.785585,275.1,19.0,2.0,0.355
177,11798,22.323696,113.786349,655.0,20.0,2.0,0.361
178,10654,22.31801,113.788012,689.6,20.0,2.0,0.361
179,10582,22.312102,113.790053,501.2,20.0,2.0,0.361
180,9038,22.307956,113.791964,211.6,25.5,2.0,0.421
181,10426,22.306155,113.792628,276.0,20.0,2.0,0.361
182,9781,22.303754,113.793308,204.5,9.0,2.0,0.405
183,9237,22.302004,113.793921,234.7,19.5,2.0,0.363
184,9762,22.299976,113.794554,230.5,16.5,2.0,0.37
185,11751,22.297981,113.795163,222.2,20.0,2.0,0.361
186,8888,22.296038,113.795669,227.2,20.0,2.0,0.361
187,9448,22.294057,113.79621,197.5,18.0,2.0,0.349
188,10606,22.292302,113.796504,536.0,20.0,2.0,0.361
189,9990,22.287656,113.797895,186.3,20.0,2.0,0.361
190,9624,22.28598,113.797849,214.0,35.0,2.0,0.315
191,9565,22.284075,113.797559,458.1,19.5,2.0,0.363
192,11743,22.279969,113.79792,1125.3,11.0,1.0,0.405
193,11702,22.269917,113.799182,538.0,10.0,1.0,0.405
194,10079,22.268238,113.804086,320.8,23.0,2.0,0.402
195,9588,22.265738,113.802531,191.9,21.0,2.0,0.366
196,8548,22.264021,113.802349,491.0,20.0,1.0,0.361
197,6867,22.259996,113.800385,3882.1,1078.4,1.0,0.0
198,9054,22.225822,113.808105,310.3,86.2,1.0,0.0
199,672,22.223153,113.807223,,,,
