序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
210,11707,23.133289,112.266123,514.8,119.0,3.0,0.405
211,10699,23.136297,112.269951,306.8,90.0,4.0,0.396
212,9960,23.138534,112.271707,2049.6,569.3,1.0,0.0
213,2416,23.153966,112.28267,253.8,38.3,9.0,0.436
214,866,23.156019,112.283756,215.2,32.7,56.0,0.815
215,894,23.157921,112.284142,163.2,148.5,6.0,0.293
216,3759,23.158276,112.285691,279.9,30.0,3.0,0.405
217,6931,23.160268,112.287364,332.2,92.3,1.0,0.0
218,11606,23.162232,112.289813,622.1,31.0,1.0,0.405
219,10931,23.166237,112.294063,327.0,40.0,1.0,0.405
220,8085,23.168748,112.295727,469.6,197.0,1.0,0.405
221,3853,23.170705,112.299798,228.1,54.2,11.0,0.47
222,4481,23.170806,112.302027,209.5,41.2,9.0,0.541
223,3566,23.170816,112.304077,207.5,55.3,14.0,0.516
224,2494,23.170714,112.306103,196.7,45.0,20.0,0.511
225,1801,23.170563,112.308021,204.6,65.0,22.0,0.514
226,1675,23.170313,112.310004,207.8,42.2,24.0,0.477
227,1551,23.170071,112.31202,204.9,50.0,26.0,0.458
228,1463,23.169756,112.313994,209.5,80.0,25.0,0.348
229,1491,23.16953,112.316029,248.2,68.9,1.0,0.0
230,4026,23.168862,112.318346,175.1,89.5,11.0,0.326
231,2657,23.168739,112.320054,202.0,74.5,15.0,0.337
232,2057,23.1685,112.322012,200.9,29.0,18.0,0.405
233,1770,23.168305,112.323966,215.1,59.8,21.0,0.0
234,1640,23.168107,112.326059,453.0,125.8,1.0,0.0
235,6319,23.166833,112.330269,204.0,56.7,6.0,0.0
236,3992,23.166673,112.332257,193.4,53.7,11.0,0.0
237,2483,23.166523,112.334142,198.3,30.0,17.0,0.405
238,1662,23.166132,112.336034,292.3,81.2,3.0,0.0
239,4118,23.164656,112.3384,177.4,30.0,11.0,0.405
240,1609,23.164181,112.340056,302.6,84.1,3.0,0.0
241,2703,23.162556,112.342431,179.7,30.0,17.0,0.467
242,1452,23.161821,112.343996,287.5,46.0,5.0,0.405
243,1324,23.160062,112.346057,297.9,60.0,9.0,0.405
244,1280,23.158202,112.348154,305.6,84.9,7.0,0.0
245,1126,23.156242,112.35025,302.6,84.1,8.0,0.0
246,704,23.154257,112.352275,311.1,86.4,9.0,0.0
247,593,23.152025,112.35411,298.4,82.9,19.0,0.0
248,668,23.149873,112.355855,297.2,82.6,26.0,0.0
249,974,23.147805,112.357696,299.6,85.0,6.0,0.368
250,1740,23.145658,112.359466,314.3,186.0,1.0,0.405
251,2705,23.143406,112.361323,303.9,284.5,1.0,0.411
252,3207,23.141367,112.363303,319.2,120.3,4.0,0.375
253,2299,23.139442,112.365619,292.7,81.3,11.0,0.0
254,1643,23.137828,112.367881,273.8,57.5,7.0,0.347
255,2096,23.136299,112.36998,350.6,97.4,1.0,0.0
256,2935,23.133711,112.371937,262.8,73.0,4.0,0.0
257,2182,23.132172,112.373888,287.7,79.9,1.0,0.0
258,4299,23.13065,112.376164,333.3,92.6,1.0,0.0
259,9238,23.128107,112.37789,266.4,74.0,1.0,0.0
260,11739,23.126265,112.379556,4288.4,1191.2,1.0,0.0
261,9369,23.089637,112.39268,399.0,31.0,1.0,0.405
262,7313,23.086051,112.392541,208.6,32.5,4.0,0.53
263,7686,23.084192,112.392814,272.7,27.9,3.0,0.583
264,760,23.082064,112.39414,9628.1,2674.5,1.0,0.0
265,745,23.03947,112.476074,201.1,31.0,64.0,0.734
266,637,23.039604,112.478034,198.8,28.8,70.0,0.817
267,573,23.039845,112.479959,270.1,75.0,2.0,0.0
268,2399,23.04126,112.482104,204.8,54.5,22.0,0.451
269,1229,23.041459,112.484094,481.0,181.0,1.0,0.405
270,4171,23.043288,112.488354,179.1,50.0,14.0,0.382
271,1365,23.043584,112.490074,204.9,40.7,24.0,0.445
272,1205,23.044144,112.491982,275.3,62.0,6.0,0.405
273,1788,23.045527,112.494212,184.3,44.5,21.0,0.402
274,1284,23.046057,112.495919,292.0,73.0,4.0,0.405
275,1906,23.047571,112.498251,185.8,103.5,23.0,0.316
276,1391,23.048146,112.499957,283.1,121.0,9.0,0.36
277,1612,23.049644,112.502193,461.3,885.0,1.0,0.405
278,1361,23.051924,112.505959,300.3,105.0,6.0,0.315
279,1669,23.05366,112.508207,305.3,89.0,4.0,0.405
280,2792,23.055605,112.510314,296.1,30.0,3.0,0.405
281,4228,23.057414,112.512437,305.2,78.0,3.0,0.333
282,7553,23.059159,112.51474,455.1,30.0,1.0,0.405
283,3204,23.061434,112.518438,1563.5,434.3,2.0,0.0
284,7899,23.073139,112.526906,339.7,58.0,3.0,0.385
285,1030,23.075901,112.528326,295.0,81.9,6.0,0.0
286,679,23.078107,112.529928,204.7,27.9,67.0,0.77
287,652,23.079926,112.53023,487.0,135.3,1.0,0.0
288,622,23.084,112.531979,291.7,359.0,15.0,0.405
289,1570,23.086244,112.533457,319.5,61.7,4.0,0.431
290,3840,23.088481,112.535416,311.8,210.5,2.0,0.466
291,5551,23.090625,112.537381,296.5,45.0,2.0,0.396
292,6021,23.092639,112.539281,299.1,40.7,1.0,0.448
293,5789,23.094575,112.541311,308.4,77.5,1.0,0.337
294,4365,23.096679,112.543275,151.9,27.8,28.0,0.826
295,1017,23.097843,112.544053,297.9,82.7,6.0,0.0
296,1110,23.099689,112.546164,317.5,30.0,2.0,0.405
297,1286,23.101909,112.548117,307.8,151.0,3.0,0.405
298,1189,23.104045,112.550031,156.6,30.0,15.0,0.405
299,3655,23.105377,112.550529,314.4,87.3,3.0,0.0
300,4321,23.107455,112.552614,301.2,83.7,3.0,0.0
301,3583,23.10938,112.554685,314.7,87.4,3.0,0.0
302,1615,23.11163,112.556551,299.6,43.5,6.0,0.386
303,653,23.113798,112.558291,307.1,120.5,18.0,0.415
304,571,23.116107,112.559939,294.5,81.8,18.0,0.0
305,1026,23.118279,112.561586,182.2,34.2,61.0,0.824
306,742,23.119826,112.562172,498.3,245.0,1.0,0.405
307,1314,23.123924,112.564144,296.4,71.5,12.0,0.344
308,1088,23.126066,112.565869,474.5,67.0,1.0,0.405
309,2239,23.129516,112.5686,313.2,56.6,8.0,0.388
310,1029,23.131751,112.570464,293.1,114.0,18.0,0.405
311,546,23.133942,112.572057,299.1,66.0,10.0,0.405
312,960,23.136338,112.573387,493.4,180.0,1.0,0.405
313,1363,23.140289,112.575583,302.8,112.0,4.0,0.405
314,3060,23.142356,112.57751,314.2,98.0,2.0,0.405
315,6191,23.144606,112.579369,310.6,263.0,2.0,0.405
316,9400,23.146843,112.581189,469.8,97.0,1.0,0.405
317,2356,23.150457,112.583568,304.1,143.0,5.0,0.287
318,2072,23.152429,112.585629,461.3,186.0,1.0,0.405
319,9578,23.154891,112.589261,3588.5,996.8,1.0,0.0
320,4568,23.16667,112.621941,202.3,30.0,6.0,0.405
321,4585,23.166669,112.62392,439.7,31.0,0.0,0.405
322,1062,23.168032,112.627957,205.4,48.6,36.0,0.539
323,1081,23.168134,112.629964,210.0,33.6,35.0,0.592
324,1301,23.168149,112.632018,202.1,49.5,31.0,0.441
325,1537,23.168226,112.633993,206.5,29.9,25.0,0.568
326,1856,23.168356,112.636008,199.1,28.9,22.0,0.615
327,2218,23.16855,112.637944,440.8,122.4,1.0,0.0
328,711,23.169966,112.641972,202.1,25.9,62.0,0.804
329,721,23.170038,112.643947,208.0,32.9,61.0,0.712
330,836,23.170162,112.645978,408.5,113.5,1.0,0.0
331,1163,23.170212,112.649973,210.3,33.7,54.0,0.763
332,1297,23.170244,112.65203,402.3,43.0,1.0,0.405
333,1421,23.170256,112.655965,208.6,38.0,48.0,0.726
334,1579,23.170184,112.658005,410.9,164.0,1.0,0.405
335,1533,23.170139,112.662023,202.7,39.7,52.0,0.766
336,1462,23.17013,112.664006,207.3,28.4,50.0,0.823
337,1603,23.170112,112.666034,197.9,35.8,50.0,0.8
338,1562,23.170083,112.667969,414.4,163.0,1.0,0.405
339,1540,23.170151,112.672022,407.3,88.0,3.0,0.493
340,1380,23.170322,112.676002,1021.3,283.7,1.0,0.0
341,1431,23.17037,112.685992,409.6,352.0,1.0,0.405
342,1419,23.170127,112.68999,609.3,169.2,1.0,0.0
343,1707,23.169693,112.695931,411.5,148.0,2.0,0.405
344,2695,23.169398,112.699944,201.0,45.7,24.0,0.62
345,3543,23.169252,112.701903,232.7,64.6,6.0,0.0
346,1861,23.1686,112.704066,406.7,28.0,1.0,0.405
347,1429,23.16819,112.708019,208.8,34.1,55.0,0.795
348,1428,23.167979,112.710049,408.1,113.4,1.0,0.0
349,1325,23.167607,112.714021,207.8,32.4,53.0,0.826
350,1169,23.16755,112.716053,417.1,115.9,1.0,0.0
351,611,23.168378,112.720032,1003.1,278.6,1.0,0.0
352,872,23.168008,112.729836,217.8,30.7,58.0,0.821
353,1080,23.168094,112.731965,611.7,420.0,1.0,0.405
354,1696,23.168579,112.737925,407.4,298.0,1.0,0.405
355,3338,23.168639,112.74191,3844.5,1067.9,1.0,0.0
356,3700,23.160611,112.778488,462.0,128.3,1.0,0.0
357,1262,23.158076,112.782068,17779.1,4938.6,1.0,0.0
358,188,23.110114,112.947934,321.5,89.3,20.0,0.0
359,296,23.107874,112.949922,472.4,131.2,1.0,0.0
360,534,23.104306,112.952431,789.4,219.3,1.0,0.0
361,338,23.098071,112.956121,606.4,168.4,1.0,0.0
362,398,23.09379,112.959794,639.5,177.6,1.0,0.0
363,2001,23.088685,112.962671,495.1,141.2,1.0,0.411
364,6173,23.084609,112.964619,513.4,30.5,3.0,0.463
365,6654,23.080346,112.966547,510.5,270.2,4.0,0.45
366,7222,23.076148,112.968569,477.2,255.0,0.0,0.453
367,5505,23.072282,112.970593,681.2,1534.0,1.0,0.405
368,5328,23.066488,112.97276,291.7,36.9,3.0,0.682
369,602,23.064198,112.974151,291.6,81.0,5.0,0.0
370,599,23.061965,112.975645,233.8,64.9,55.0,0.0
371,351,23.059889,112.976004,294.9,81.9,3.0,0.0
372,5347,23.057429,112.977082,181.9,50.5,13.0,0.0
373,938,23.055803,112.977274,439.3,120.0,1.0,0.405
