序号,节点ID,纬度,经度,距离_m,耗时_s,通行次数,置信度
201,10133,22.81402,113.599977,299.5,25.0,2.0,0.424
202,9549,22.811934,113.601826,296.3,20.5,2.0,0.368
203,9794,22.810237,113.604055,305.7,14.0,1.0,0.406
204,9682,22.808427,113.606299,312.9,21.0,1.0,0.366
205,8062,22.806413,113.608431,319.9,24.5,1.0,0.419
206,6118,22.804409,113.61067,225.2,23.0,2.0,0.431
207,10644,22.802397,113.610421,279.0,19.5,1.0,0.352
208,9009,22.800427,113.612107,523.5,31.0,0.0,0.405
209,11917,22.796204,113.614363,205.4,9.0,2.0,0.405
210,6932,22.796354,113.61636,252.1,9.0,3.0,0.405
211,8670,22.794087,113.616371,286.8,21.7,2.0,0.447
212,7850,22.79199,113.618,172.2,15.3,3.0,0.386
213,11877,22.790601,113.618744,139.3,20.7,3.0,0.437
214,8895,22.789545,113.619476,188.6,26.5,3.0,0.409
215,8671,22.788132,113.620492,293.0,19.8,1.0,0.482
216,7246,22.785928,113.622058,271.2,23.5,4.0,0.476
217,8009,22.783871,113.62348,221.3,20.3,4.0,0.439
218,8699,22.782159,113.624583,118.5,16.5,2.0,0.396
219,11868,22.781534,113.625519,178.2,12.7,2.0,0.434
220,7495,22.780019,113.626085,292.7,23.2,4.0,0.431
221,8335,22.777854,113.627709,164.2,25.5,4.0,0.475
222,9833,22.776603,113.62856,143.7,19.8,4.0,0.459
223,8703,22.775661,113.629519,181.9,23.5,4.0,0.487
224,8674,22.774209,113.630336,447.7,23.0,1.0,0.405
225,11831,22.770186,113.630514,485.4,34.0,1.0,0.405
226,11834,22.765828,113.63025,618.5,45.0,1.0,0.405
227,11215,22.764242,113.636032,195.4,30.0,1.0,0.405
228,7110,22.764029,113.637923,311.8,18.2,3.0,0.456
229,8120,22.761814,113.639788,180.3,23.8,4.0,0.488
230,9116,22.760353,113.640552,144.4,24.8,4.0,0.484
231,9144,22.759566,113.641672,180.8,23.5,4.0,0.484
232,8318,22.758095,113.642425,285.8,17.5,2.0,0.327
233,8326,22.755998,113.644036,166.6,25.5,3.0,0.41
234,10448,22.754581,113.644563,130.1,19.0,2.0,0.344
235,7873,22.753885,113.645584,187.9,21.0,3.0,0.485
236,8922,22.752406,113.64647,120.6,23.0,4.0,0.484
237,9394,22.751707,113.647368,211.5,19.5,4.0,0.45
238,7070,22.749948,113.648153,263.9,23.0,4.0,0.48
239,6904,22.748165,113.649852,198.7,18.0,3.0,0.454
240,11036,22.746542,113.650662,126.6,23.2,3.0,0.483
241,8057,22.745835,113.65163,211.0,15.3,3.0,0.386
242,8741,22.744082,113.652417,295.9,11.0,1.0,0.405
243,7402,22.741947,113.654139,278.4,29.2,3.0,0.465
244,7936,22.739967,113.6558,195.8,25.7,3.0,0.428
245,10874,22.738359,113.656577,119.4,21.3,3.0,0.422
246,9714,22.737797,113.657569,304.2,30.0,1.0,0.405
247,8880,22.735822,113.659622,313.9,30.0,1.0,0.405
248,8950,22.734543,113.662351,158.5,8.0,2.0,0.405
249,6790,22.733849,113.663701,212.6,8.0,3.0,0.405
250,6994,22.732055,113.664418,240.9,30.0,2.0,0.405
251,6978,22.730355,113.665875,247.4,22.0,3.0,0.405
252,6409,22.728158,113.666251,236.6,19.0,2.0,0.366
253,8584,22.726031,113.666213,312.2,9.0,2.0,0.405
